ccq_builds_in_sonar_period,sonar_start_date,sonar_end_date,sonar_duration,project,median_bugs,median_vulnerabilities,median_code_smells,median_sqale_index,median_sqale_ratio,median_duplicated_lines_density,median_coverage,median_ncloc,last_ncloc,max_ncloc,median_bugs_density,median_vulnerabilities_density,median_code_smells_density,median_ci_time_running,max_ci_time_running,median_ci_duration,max_ci_duration,median_ci_time_to_fix,max_ci_time_to_fix,ci_builds_failures,ci_builds_in_sonar_period,ci_builds_total_activity_days,ccq_ratio_activity,ci_builds_activity,commits_activity,cov_quantile,citime_quantile,time_to_fix_quantile,ci_activity_quantile
120,2018-09-29T03:35:31+0200,2019-07-16T18:17:39+0200,290,hmcts/ccd-user-profile-api,0.0,0.0,9.0,32.0,0.1,0.0,92.4,1180.0,1180,1180,0.0,0.0,0.0076271186440678,205.0,533,202.0,533,44750.0,251912.0,36,154,37,1.28333333333333,0.12758620689655198,0.0,4,2,4.0,1
928,2017-08-23T14:13:30+0200,2019-07-30T08:17:56+0200,705,WojciechZankowski/iextrading4j,0.0,0.0,62.0,1196.0,0.5,3.3,92.9,10958.0,20476,20476,0.0,0.0,0.013371788148925,438.5,25919,627.0,52855,53964.0,1206194.0,203,1029,624,1.10883620689655,0.885106382978723,0.0,4,4,4.0,4
160,2019-06-01T07:33:08+0200,2019-07-06T07:11:14+0200,34,jinahya/jsonrpc-bind,0.0,0.0,24.5,220.0,0.95,0.0,82.4,665.5,905,905,0.0,0.0,0.0358923587088771,123.0,681,230.5,693,64.5,104.0,2,190,30,1.1875,0.882352941176471,0.0,3,1,1.0,4
64,2019-04-20T21:05:11+0200,2019-07-01T22:54:34+0200,72,Siouan/frontend-gradle-plugin,0.0,0.0,0.0,0.0,0.0,0.0,95.75,1344.0,1640,1640,0.0,0.0,0.0,205.0,607,210.0,913,2265.5,1218246.0,113,267,24,4.171875,0.33333333333333304,0.0,4,2,3.0,2
64,2019-06-19T21:14:19+0200,2019-07-12T02:15:04+0200,22,newtonjose/cs-2019-01,0.0,0.0,6.0,40.0,0.1,0.0,100.0,1127.0,1127,1127,0.0,0.0,0.0053238686779059395,86.5,220,85.5,304,2262.0,8030.0,11,74,16,1.15625,0.7272727272727271,0.0,4,1,3.0,3
80,2019-03-28T12:33:34+0100,2019-07-25T09:33:22+0200,118,T-Systems-MMS/skoop-server,1.0,0.0,60.0,2889.0,0.9,0.8,83.65,10854.5,10971,10971,9.21342359956173e-05,0.0,0.00546896363139185,407.0,730,407.0,730,19314.0,19314.0,4,273,52,3.4125,0.440677966101695,0.0,3,3,4.0,2
288,2019-03-08T16:24:50+0100,2019-07-27T12:49:50+0200,140,synyx/urlaubsverwaltung,26.0,11.0,102.0,1515.0,0.2,0.6,67.2,21370.5,22280,22280,0.00121663641233357,0.0005595709967868179,0.00457830244649664,290.0,491,285.0,491,1442.5,271683.0,80,1045,87,3.62847222222222,0.621428571428571,0.0,2,3,2.0,3
56,2019-04-30T23:49:43+0200,2019-07-05T13:20:10+0200,65,DoublesunRUS/ru.capralow.dt.unit.launcher,12.0,0.0,63.0,294.0,0.4,0.0,5.4,2643.0,2665,2665,0.00450281425891182,0.0,0.0236397748592871,369.0,1405,363.0,1405,987.5,2371.0,16,121,29,2.16071428571429,0.446153846153846,0.0,1,3,1.0,3
256,2018-09-28T15:03:19+0200,2019-07-30T08:59:07+0200,304,hmcts/bulk-scan-orchestrator,0.0,0.0,6.0,56.5,0.1,0.0,91.2,1595.5,2595,2595,0.0,0.0,0.00655105973025048,270.0,880,256.0,880,3354.0,1751406.0,237,1725,176,6.73828125,0.578947368421053,0.0,4,3,3.0,3
80,2019-05-29T09:03:45+0200,2019-07-29T08:27:37+0200,60,Lumenol/computer-database,22.5,2.0,59.0,500.0,0.1,1.7,18.7,16828.0,16828,16828,0.0013667696695982901,0.00011884953648680801,0.0035060613263608303,162.0,350,161.5,350,3202.5,86480.0,16,216,57,2.7,0.95,0.0,1,2,3.0,4
336,2018-07-31T07:51:13+0200,2019-07-17T19:58:57+0200,351,osmlab/atlas-checks,3.0,3.0,119.5,1027.0,0.4,0.0,68.55,9015.5,9772,9772,0.000332765700613259,0.00032901366908639703,0.0138760407030527,301.0,959,301.0,959,1742.0,41859.0,21,939,350,2.79464285714286,0.9971509971509971,0.0,2,3,2.0,4
448,2017-12-19T15:59:22+0100,2019-07-29T02:50:41+0200,586,trellis-ldp/trellis,0.0,0.0,8.5,0.0,0.0,0.0,99.35,8929.5,10318,10318,0.0,0.0,0.00122364261142273,665.0,2132,1610.0,7198,1485.0,168164.0,77,1147,177,2.56026785714286,0.302047781569966,0.0,4,4,2.0,2
192,2019-04-06T14:00:31+0200,2019-07-26T08:25:50+0200,110,resilience4j/resilience4j,2.5,1.0,186.0,2464.5,0.5,3.2,82.4,16473.5,16794,16794,0.000151906934934023,6.07459603936338e-05,0.0111604464178567,999.5,1852,1019.0,2796,2589.0,152090.0,109,582,78,3.03125,0.7090909090909091,0.0,3,4,3.0,3
120,2019-01-28T14:02:09+0100,2019-07-22T17:02:32+0200,175,CJSCommonPlatform/cake-shop,8.0,0.0,40.0,491.0,0.3,2.6,58.0,4951.0,4993,4993,0.00161583518481115,0.0,0.007938082952966859,434.0,1133,429.0,1133,642.5,172445.0,44,358,65,2.9833333333333303,0.37142857142857105,0.0,2,4,1.0,2
168,2018-01-19T11:55:33+0100,2019-07-17T13:26:26+0200,544,CJSCommonPlatform/stream-transformation-tool,3.0,0.0,35.0,643.0,0.8,2.7,84.7,2196.0,3085,3085,0.0009724473257698539,0.0,0.0158833063209076,432.0,936,431.0,936,1513.0,523568.0,77,409,62,2.43452380952381,0.113970588235294,0.0,3,4,2.0,1
24,2019-01-14T08:40:30+0100,2019-07-08T09:50:54+0200,175,amitnema/elasticsearch-elixir,1.0,0.0,4.0,27.0,0.1,0.0,45.2,1527.0,1559,1559,0.000654878847413229,0.0,0.00256574727389352,277.5,483,278.0,722,134506.0,606910.0,27,52,7,2.1666666666666696,0.04,0.0,1,3,4.0,1
120,2019-04-03T22:40:51+0200,2019-06-27T17:36:13+0200,84,JanMalch/kino,0.0,0.0,24.0,305.0,0.3,2.4,88.4,4677.0,4691,4691,0.0,0.0,0.00722942802466511,204.5,617,202.0,617,1732.0,240649.0,60,562,54,4.68333333333333,0.6428571428571429,0.0,3,2,2.0,3
112,2019-02-20T16:14:27+0100,2019-07-30T14:54:10+0200,159,hmcts/rpa-em-ccd-orchestrator,0.0,0.0,27.5,152.0,0.4,0.0,88.05,1256.5,1616,1616,0.0,0.0,0.0206361856622486,224.0,706,221.0,706,4499.5,1183925.0,47,301,54,2.6875,0.339622641509434,0.0,3,2,3.0,2
192,2018-10-31T12:22:28+0100,2019-07-22T16:00:33+0200,264,CJSCommonPlatform/event-store,4.0,1.0,50.0,566.0,0.2,0.75,75.45,7742.5,9701,9701,0.000574797812041897,0.000127663740031648,0.0062919054526503,404.0,3000,401.0,3000,1346.5,253657.0,107,1169,128,6.08854166666667,0.484848484848485,0.0,2,3,2.0,3
224,2019-02-01T14:54:09+0100,2019-07-17T10:03:18+0200,165,exasol/virtual-schema-common-java,0.0,0.0,0.0,0.0,0.0,0.0,88.0,4741.0,4748,4748,0.0,0.0,0.0,156.0,451,155.0,451,1579.0,249570.0,36,362,57,1.61607142857143,0.34545454545454496,0.0,3,2,2.0,2
176,2018-10-26T13:08:27+0200,2019-07-18T16:01:34+0200,265,CJSCommonPlatform/framework-generators,8.0,0.0,54.5,617.0,0.2,1.1,83.8,9742.0,10574,10574,0.0008211866146581809,0.0,0.00544417791251539,547.0,1567,544.5,1567,993.0,101273.0,22,492,81,2.79545454545455,0.305660377358491,0.0,3,4,1.0,2
64,2019-05-01T00:21:29+0200,2019-07-07T19:39:17+0200,67,eskaton/asn4j,0.5,5.5,248.0,2974.0,0.55,1.1,50.9,18206.5,19221,19221,2.8192839018889196e-05,0.000310121229207781,0.0136320738811173,142.0,272,142.0,272,2167.5,95462.0,9,120,38,1875,0.567164179104478,0.0,1,1,2.0,3
296,2017-09-16T12:51:46+0200,2019-07-29T22:00:53+0200,681,VocabHunter/vocabhunter,0.0,0.0,19.0,2337.0,1.0,0.0,89.6,7748.0,8371,8371,0.0,0.0,0.0024516129032258103,467.0,1247,464.0,1247,2259.0,699862.0,7,369,152,1.2466216216216202,0.223201174743025,0.0,4,4,3.0,2
224,2018-11-27T15:31:50+0100,2019-07-16T13:09:42+0200,230,molgenis/molgenis,0.0,0.0,993.5,14780.5,0.5,0.65,63.15,92361.5,97427,97427,0.0,0.0,0.0106599718904186,830.0,3000,1399.0,4799,2723.0,210115.0,191,1679,212,7.49553571428571,0.921739130434783,0.0,2,4,3.0,4
240,2017-08-15T15:24:29+0200,2019-07-12T10:18:04+0200,695,CJSCommonPlatform/jsonschema-pojo-generator,0.0,0.0,0.0,0.0,0.0,0.0,97.7,4380.0,4473,4473,0.0,0.0,0.0,137.0,999,136.5,999,2196.0,590652.0,18,856,81,3.56666666666667,0.11654676258992801,0.0,4,1,3.0,1
176,2018-06-25T05:45:25+0200,2019-07-22T04:31:04+0200,391,KengoTODA/guava-helper-for-java-8,0.0,0.0,26.0,670.0,2.3,0.0,80.4,955.0,814,814,0.0,0.0,0.0270833333333333,133.0,379,132.0,379,22.5,36.0,3,213,55,1.21022727272727,0.140664961636829,0.0,3,1,1.0,1
200,2017-11-23T16:20:56+0100,2019-07-11T17:40:14+0200,595,CJSCommonPlatform/json-schema-catalog,0.0,0.0,6.0,60.0,0.1,0.7,88.0,1593.0,1694,1694,0.0,0.0,0.00376647834274953,141.0,563,140.5,563,333.5,71910.0,23,372,52,1.86,0.0873949579831933,0.0,3,1,1.0,1
152,2017-08-14T12:41:45+0200,2019-07-11T17:17:00+0200,696,CJSCommonPlatform/generator-maven-plugin,0.0,0.0,3.0,35.0,0.1,0.0,79.1,1289.0,1394,1394,0.0,0.0,0.0024350649350649398,150.0,452,150.0,452,595.0,1101.0,5,211,37,1.38815789473684,0.0531609195402299,0.0,3,2,1.0,1
336,2018-01-15T17:01:20+0100,2019-07-11T16:25:51+0200,541,CJSCommonPlatform/framework-api,0.0,0.0,29.0,287.0,0.5,0.0,57.8,2018.5,2428,2428,0.0,0.0,0.0145379023883697,142.0,801,141.0,801,711.0,86262.0,23,539,96,1.6041666666666698,0.177449168207024,0.0,2,1,1.0,1
296,2018-06-29T17:00:37+0200,2019-07-30T14:38:05+0200,395,hmcts/bulk-scan-processor,0.0,0.0,16.0,90.0,0.1,0.3,88.7,3446.0,5552,5552,0.0,0.0,0.0049352251696483706,456.0,2969,450.0,2969,1631.0,232927.0,88,1609,125,5.435810810810809,0.316455696202532,0.0,3,4,2.0,2
528,2018-01-18T14:34:41+0100,2019-07-17T08:53:07+0200,544,sflpro/notifier,8.0,5.0,86.0,5044.0,1.2,4.6,0.0,13800.0,18539,18539,0.000579710144927536,0.00036231884057971,0.00623188405797101,311.0,896,304.0,896,2051.0,529218.0,131,732,66,1.3863636363636398,0.121323529411765,0.0,1,3,2.0,1
112,2019-04-06T13:38:07+0200,2019-07-13T17:37:47+0200,98,mivek/metarParser,0.0,0.0,6.0,50.0,0.1,0.0,98.3,3069.0,3100,3100,0.0,0.0,0.00195503421309873,175.0,545,214.5,545,1193.0,30226.0,7,186,32,1.6607142857142903,0.326530612244898,0.0,4,2,2.0,2
144,2019-02-28T14:50:22+0100,2019-07-24T15:05:24+0200,145,dernasherbrezon/r2cloud,21.0,0.0,61.0,947.5,0.4,1.7,60.8,7415.0,7396,7396,0.0028146536731584603,0.0,0.00821604331012205,291.0,1210,291.0,1210,1752.5,151198.0,35,182,76,1.26388888888889,0.5241379310344829,0.0,2,3,2.0,3
272,2018-01-26T22:04:27+0100,2019-06-24T00:59:15+0200,513,miw-upm/betca-tpv-spring,4.0,0.0,27.5,297.0,0.2,1.5,78.35,3760.0,8945,8945,0.00121253416506088,0.0,0.0066119021875248206,216.0,634,216.0,634,3159.0,140152.0,29,387,75,1.4227941176470602,0.146198830409357,0.0,2,2,3.0,1
48,2019-04-26T22:45:16+0200,2019-07-22T20:23:20+0200,86,yahoo/fili,59.0,12.0,1082.0,10595.5,0.9,0.8,81.8,38814.5,39066,39066,0.00153290522925172,0.000309168501863592,0.0280398611705723,779.0,1311,778.0,1311,6844.0,353051.0,98,335,57,6.97916666666667,0.6627906976744189,0.0,3,4,3.0,3
248,2018-06-29T09:32:18+0200,2019-07-29T13:04:12+0200,395,RoboZonky/robozonky,0.0,0.0,264.0,1159.0,0.2,0.1,85.5,20635.0,24364,24364,0.0,0.0,0.0126968742427914,3110.0,29724,7626.5,35922,4541.5,607746.0,158,754,148,3.04032258064516,0.374683544303797,0.0,3,4,3.0,2
128,2018-08-03T16:38:33+0200,2019-07-29T23:48:59+0200,360,KengoTODA/javadocky,0.0,0.0,6.0,40.0,0.2,0.0,49.0,745.0,745,745,0.0,0.0,0.008053691275167791,180.0,565,179.0,565,490133.0,1364524.0,13,228,64,1.78125,0.17777777777777803,0.0,1,2,4.0,1
136,2018-12-25T11:13:21+0100,2019-07-20T17:26:00+0200,207,metamug/mason,3.0,0.0,143.0,1688.0,1.9,0.7,36.4,2949.0,2949,2949,0.00101763907734057,0.0,0.0488466757123474,144.5,409,144.0,409,20363.0,170219.0,23,270,70,1.9852941176470602,0.33816425120772897,0.0,1,1,4.0,2
152,2019-03-28T15:32:55+0100,2019-07-29T17:25:10+0200,123,PantheonTechnologies/lighty-core,22.0,9.0,332.0,4107.0,1.2,0.4,44.3,11584.0,11716,11716,0.00187777398429498,0.000768180266302492,0.0287402632285791,578.5,1632,1011.5,2440,14622.5,32214.0,7,408,70,2.6842105263157903,0.569105691056911,0.0,1,4,4.0,3
112,2017-09-15T15:37:28+0200,2019-06-20T11:41:46+0200,642,CJSCommonPlatform/artemis-manager,0.0,1.0,15.5,260.0,0.7,4.6,66.1,1207.5,1867,1867,0.0,0.000828181348052899,0.0133071077618213,213.0,937,213.0,937,319.0,2501838.0,33,176,28,1.57142857142857,0.043613707165109004,0.0,2,2,1.0,1
88,2019-05-14T13:47:12+0200,2019-07-28T20:38:32+0200,75,goldy1992/Mp3Player,1.0,0.0,337.0,1573.0,0.7,0.0,68.2,7829.0,8242,8242,0.000128106584678452,0.0,0.0431719190366385,346.5,950,344.5,950,47090.5,1255344.0,123,384,66,4.36363636363636,0.88,0.0,2,3,4.0,4
48,2019-01-30T08:17:49+0100,2019-07-24T15:59:19+0200,175,polygenesis-projects/polygenesis-platform,1.0,0.0,107.0,1255.0,0.25,1.3,27.05,18990.0,32361,32361,3.6765386910833e-05,0.0,0.00570384096946184,179.5,1106,179.0,1106,,,0,149,61,3.1041666666666696,0.348571428571429,0.0,1,2,,2
112,2018-09-25T16:22:19+0200,2019-07-16T11:14:27+0200,293,hmcts/feature-toggle-api,0.0,0.0,2.0,10.0,0.1,0.0,90.6,593.0,593,593,0.0,0.0,0.00337268128161889,244.0,570,241.0,570,1467.5,2085.0,2,166,46,1.48214285714286,0.15699658703071698,0.0,4,3,2.0,1
224,2017-11-15T05:01:08+0100,2019-07-29T23:50:43+0200,621,KengoTODA/findbugs-slf4j,5.0,0.0,687.5,6362.5,7.75,0.45,16.6,2723.0,1599,1599,0.00256318567093802,0.0,0.250260807998597,428.0,1768,779.5,1921,803.5,495388.0,24,500,124,2.23214285714286,0.199677938808374,0.0,1,4,1.0,1
40,2019-06-16T16:38:03+0200,2019-06-19T02:05:07+0200,2,c2v4/greenery,0.0,0.0,15.0,149.0,0.0,2.3,81.8,17849.0,17779,17779,0.0,0.0,0.000843691996175263,462.5,644,457.0,644,4867.0,9730.0,6,42,3,1.05,1.5,0.0,3,4,3.0,4
128,2019-03-19T14:51:44+0100,2019-07-29T10:05:09+0200,131,indigo-iam/iam,0.0,0.0,293.0,10799.0,1.2,2.6,84.7,29489.0,29489,29489,0.0,0.0,0.009935908304791621,679.0,1205,679.0,1205,72092.0,173160.0,41,223,128,1.7421875,0.9770992366412209,0.0,3,4,4.0,4
144,2018-10-31T17:49:19+0100,2019-07-29T11:21:30+0200,270,hmcts/finrem-document-generator-client,0.0,0.0,6.0,55.0,0.45,0.0,99.1,316.0,523,523,0.0,0.0,0.0152963671128107,241.0,602,232.0,602,5627.0,399785.0,245,760,92,5.27777777777778,0.34074074074074107,0.0,4,3,3.0,2
88,2018-12-02T19:00:12+0100,2019-06-14T19:09:15+0200,193,gruelbox/dropwizard-https-redirect,0.0,0.0,0.0,0.0,0.0,0.0,82.3,361.0,361,361,0.0,0.0,0.0,118.0,366,128.0,464,112.0,327494.0,8,105,20,1.1931818181818201,0.103626943005181,0.0,3,1,1.0,1
192,2019-04-19T12:06:12+0200,2019-06-14T14:15:07+0200,56,unige-pinfo-2019/PInfo1,0.0,0.0,18.0,130.0,0.2,0.0,71.6,1723.5,2838,2838,0.0,0.0,0.00861436836827182,496.0,1328,494.0,1328,455.0,16834.0,40,629,41,3.2760416666666696,0.732142857142857,0.0,2,4,1.0,3
72,2019-03-23T21:11:08+0100,2019-07-15T18:35:52+0200,113,phantauth/phantauth-service,0.0,0.0,20.0,596.0,0.3,0.0,69.1,5743.0,5936,5936,0.0,0.0,0.00336927223719677,195.0,369,195.0,369,13038.5,20675.0,14,103,16,1.43055555555556,0.141592920353982,0.0,2,2,4.0,1
112,2019-04-16T16:59:43+0200,2019-06-14T12:42:58+0200,58,unige-pinfo-2019/PInfo3,0.0,0.0,1.5,13.5,0.05,0.0,74.65,1902.0,1893,1893,0.0,0.0,0.000956373018367332,584.0,1945,1539.5,5029,2621.0,221028.0,133,386,44,3.4464285714285694,0.7586206896551719,0.0,2,4,3.0,4
160,2018-08-14T22:31:44+0200,2019-07-25T17:29:56+0200,344,TransbankDevelopers/transbank-sdk-java,1.0,0.0,40.0,359.0,0.2,3.1,22.7,5349.0,5349,5349,0.000830220151362678,0.0,0.007656927086385241,143.0,605,142.0,605,3786.0,517817.0,16,359,53,2.24375,0.15406976744186,0.0,1,1,3.0,1
40,2017-10-10T16:49:20+0200,2019-06-04T15:21:41+0200,601,atlanmod/neoemf,6.0,1.0,116.0,5039.0,1.0,1.1,56.7,16450.0,16450,16450,0.000364741641337386,6.0790273556231004e-05,0.0070516717325228,1924.0,5521,1924.0,5521,7694.0,20820441.0,11,142,55,3.55,0.0915141430948419,0.176372712146423,2,4,3.0,1
64,2019-03-16T14:09:23+0100,2019-07-29T15:24:38+0200,135,korthout/cantis,0.0,0.0,0.0,0.0,0.0,0.0,82.8,987.0,987,987,0.0,0.0,0.0,142.0,437,139.0,437,509.5,14305.0,9,236,16,3.6875,0.118518518518519,0.0740740740740741,3,1,1.0,1
80,2018-11-25T13:13:30+0100,2019-07-10T18:53:25+0200,227,albertoirurueta/irurueta-navigation,5.0,0.0,180.5,5501.5,0.3,20.6,95.0,53497.0,53630,53630,9.346332710737509e-05,0.0,0.00336783434149485,934.0,1796,934.0,1796,5883.0,326864.0,69,167,49,2.0875,0.215859030837004,0.20704845814977998,4,4,3.0,1
40,2019-04-17T13:52:31+0200,2019-06-01T19:19:53+0200,45,jsulpis/java-study,0.0,0.0,0.0,0.0,0.0,0.0,98.0,685.0,717,717,0.0,0.0,0.0,156.0,216,156.0,216,85561.0,344040.0,10,53,12,1325,0.266666666666667,0.266666666666667,4,2,4.0,2
72,2019-03-29T19:04:30+0100,2019-06-01T01:01:50+0200,63,svstoll/cscc-recommender,0.0,0.0,0.0,0.0,0.0,0.0,13.8,1705.0,2080,2080,0.0,0.0,0.0,126.0,338,126.0,338,950.0,1085.0,4,120,17,1.6666666666666698,0.26984126984127,0.174603174603175,1,1,1.0,2
240,2019-01-18T08:57:10+0100,2019-05-24T02:36:00+0200,125,famaridon/redmine-ng-api,3.0,0.0,41.0,390.0,0.2,0.0,37.5,6663.0,6825,6825,0.000488997555012225,0.0,0.00600732600732601,369.0,959,368.5,959,3435.5,412050.0,30,256,117,1.06666666666667,0.9359999999999999,0.32799999999999996,1,3,3.0,4
144,2018-01-24T03:57:30+0100,2019-07-12T19:55:22+0200,534,Unidata/rosetta,43.5,28.0,443.5,3280.0,1.3,2.85,22.2,8984.0,8000,8000,0.005479014749258,0.00307824774532522,0.051796697960505005,231.0,765,231.0,765,14961.0,2334293.0,43,153,56,1.0625,0.104868913857678,0.19850187265917604,1,2,4.0,1
192,2017-09-15T11:58:37+0200,2019-05-23T14:21:14+0200,615,CJSCommonPlatform/framework-tools,0.0,0.0,5.0,60.0,0.2,0.0,69.4,1205.0,1286,1286,0.0,0.0,0.0048203683357116,299.0,2998,299.0,2998,978.0,257188.0,29,396,60,2.0625,0.0975609756097561,0.0487804878048781,2,3,1.0,1
32,2019-05-12T10:23:43+0200,2019-05-19T08:30:49+0200,6,jinahya/jinahya-springframework,0.0,0.0,15.0,165.0,0.85,0.0,86.3,660.0,624,624,0.0,0.0,0.0226928895612708,110.0,143,110.0,143,,,0,36,4,1125,0.666666666666667,0.666666666666667,3,1,,3
